Product_ID|Product_Name|News|Product_Line|Type|Description|Product_Price|Product_SH|PDF|Sort
23|AND-TFT-5VX-4HB-KIT|Y|AND Displays||5' VGA TFT color lCD monitor with 1,000 nit CCFL backlight -- NTSC plug-and-play prototyping kit with control circuitry, DC/AC inverter, 12VDC power supply & cabling|499|10|AND-TFT-5VX-4HB-KIT.pdf|9
31|ANDpSi084C270F-HB-KIT|Y|AND Displays||"8.4"" SVGA pSi TFT color LCD panel with 350 nit CCFL backlight -- digital plug-and-play prototyping kit with control circuitry, inverter, 12VDC power supply & cabling"|898|10||17
30|AND-TFT35VX-UHB-LED-KIT|Y|AND Displays||"3.5"" VGA TFT color LCD monitor with 1,000 nit LED backlight -- NTSC plug-and-play prototyping kit with control circuitry, inverter, 12VDC power supply & cabling"|299|10.00||5
4|AND-TFT-35XS-LED-KIT|N|AND Displays|Prototyping Kits|"3.5"" QVGA TFT color LCD monitor with 250 nit LED backlight -- NTSC plug-and-play prototyping kit with control circuitry, inverter, 12VDC power supply & cabling"|188|10|AND-TFT-35XS-LED-KIT.pdf|3
32|ANDpSi089C362S-4HB-KIT|Y|AND Displays||"8.9"" wide SVGA pSi TFT color LCD panel with 1,000 nit CCFL backlight -- LVDS plug-and-play prototyping kit with control circuitry, inverter, 12VDC power supply & cabling."|902|10||19
33|AND-TFT-43LP-KIT|Y|AND Displays||"4.3"" VGA TFT color LCD monitor with 500 nit LED backlight -- NTSC plug-and-play prototyping kit with control circuitry, inverter, 12VDC power supply & cabling"|||AND-TFT-43LP-KIT.pdf|6
7|AND-TFT-64PA-KIT|n|AND Displays|Prototyping Kits|"6.4"" QVGA TFT color LCD monitor with 330 nit CCFL backlight -- NTSC plug-and-play prototyping kit with control circuitry, inverter, 12VDC power supply & cabling"|280|10|AND-TFT-64PA-KIT.pdf|12
25|ANDpSi020TD-LED-KIT|Y|AND Displays||"2.0"" QVGA pSi TFT color LCD monitor with 250 nit LED backlight -- NTSC / PAL plug-and-play prototyping kit with control circuitry, 12VDC power supply & cabling"|125|10|ANDpSi020TD-LED-KIT.pdf|1
37|AND064VT8-HB-KIT|Y|AND Displays||"6.4"" QVGA TFT color LCD monitor with 400 nit CCFL backlight -- NTSC plug-and-play prototyping kit with control circuitry, inverter, 12VDC power supply & cabling"|||AND064VT8-HB-LED-KIT.pdf|13
10|ANDpSi056ET0S-HB-KIT|N|AND Displays|Prototyping Kits|"5.6"" WSVGA pSi TFT color LCD panel with 250 nit CCFL backlight -- digital plug-and-play prototyping kit with control ciruitry, inverter, 12VDC power supply & cabling"|962|10|ANDpSi056ET0S-HB-KIT.pdf|10
21|AND-TFT-35VX-KIT|Y|AND Displays||"3.5"" VGA TFT color LCD monitor with 210 nit LED backlight -- NTSC plug-and-play prototyping kit with control circuitry, inverter, 12VDC power supply & cabling"|185|10|AND-TFT-35VX-KIT.pdf|4
12|ANDpSi08C351-HB-KIT|N|AND Displays|Prototyping Kits|"8.4"" SVGA pSi TFT color LCD panel with 350 nit CCFL backlight -- digital plug-and-play prototyping kit with control circuitry, inverter, 12VDC power supply & cabling"|842|10|AND08C351-HB-KIT.pdf|16
22|AND-TFT-5VX-KIT|Y|AND Displays||"5"" VGA TFT color LCD monitor with 400 nit CCFL backlight -- NTSC plug-and-play prototyping kit with control circuitry, inverter, 12VDC power supply & cabling"|285|10|AND-TFT-5VX-KIT.pdf|7
28|AND050VL-LED-KIT|Y|AND Displays||"5.0"" TFT color LCD monitor or panel with 350 nit LED backlight -- plug-and-play prototyping kit with control circuitry, 12VDC power supply & cabling."|250|10|AND050VL-LED-KIT.pdf|8
27|AND-TFT-25XS-LED-KIT|Y|AND Displays||"2.5"" TFT color LCD monitor with 250 nit LED backlight -- NTSC & PAL plug-and-play prototyping kit with control circuitry, 12VDC power supply & cabling"|125|10|AND-TFT-25XS-LED-KIT.pdf|2
29|ANDpSi089C362S-KIT|Y|AND Displays||"8.9"" wide SVGA pSi TFT color LCD panel with 250 nit CCFL backlight -- LVDS plug-and-play prototyping kit with control circuitry, inverter, 12VDC power supply & cabling."|726|10|ANDpSi089C362S-KIT.pdf|18
18|AND12C285-DHB-KIT|N|AND Displays|Prototyping Kits|"12.1"" SVGA TFT color LCD panel with 500 nit CCFL backlight -- digital plug-and-play prototyping kit with control circuitry, inverter, 12VDC power supply & cabling"|906|10|AND12C285-DHB-KIT.pdf|20
34|AND-TFT-56LP-KIT|Y|AND Displays||"5.6"" TFT color LCD panel with 350 nit CCFL backlight -- digital plug-and-play prototyping kit with control ciruitry, inverter, 12VDC power supply & cabling"|||AND-TFT-56LP-KIT.pdf|11
20|ANDpSi121C250F-HB-KIT|Y|AND Displays|Prototyping Kits|"12.1"" XGA pSi TFT color LCD panel with 400 nit CCFL backlight -- LVDS plug-and-play prototyping kit with control circuitry, inverter, 12VDC power supply & cabling"|925|10|ANDpSi121GAOS-HB-KIT.pdf|21
35|AND-TFT-7LP-KIT|Y|AND Displays||"7.0"" TFT color LCD panel with 250 nit CCFL backlight -- digital plug-and-play prototyping kit with control ciruitry, inverter, 12VDC power supply & cabling"|||AND-TFT-7LP-KIT.pdf|14
36|AND-TFT-8LP-KIT|Y|AND Displays||"8.0"" TFT color LCD panel with 450 nit CCFL backlight -- digital plug-and-play prototyping kit with control ciruitry, inverter, 12VDC power supply & cabling"|||AND-TFT-8LP-KIT.pdf|15
